Time,RPM,MPH,THROTTLE_POS,AX,AY,AZ,GX,GY,GZ
1648692732,0,0,0,0,0,0,0,0,0
1648692733,0,0,0,0.354341845703125,-0.5267243652343749,10.194510668945313,0.015721286824427482,0.00639509972519084,0.013589586916030535
1648692734,0,0,0,0.36391865234375,-0.59376201171875,10.146626635742187,0.0130566619389313,0.002398162396946565,0.007460949679389314
1648692735,0,0,0,0.3591302490234375,-0.5506663818359374,10.160991845703125,0.00985911207633588,0.004263399816793893,0.01119142451908397
1648692736,0,0,0,0.32561142578124996,-0.5315127685546874,10.184933862304687,0.009326187099236643,0.007194487190839696,0.0061286372366412215
1648692737,0,0,0,0.3447650390625,-0.5267243652343749,10.199299072265624,0.02211638654961832,0.004263399816793893,0.011990811984732825
1648692738,0,0,0,0.4070142822265625,-0.5123591552734374,10.189722265624999,0.011990811984732825,-0.0013323124427480919,0.014655436870229008
1648692739,0,0,0,0.2920926025390625,-0.5746083984375,10.213664282226562,0.00799387465648855,0.0,0.012257274473282443
1648692740,0,0,0,0.33518823242187495,-0.5985504150390625,10.108319409179687,0.011990811984732825,0.0026646248854961837,0.00985911207633588
1648692741,0,0,0,0.373495458984375,-0.47884033203125,10.17056865234375,0.014388974381679392,0.003730474839694657,0.00985911207633588
