Time,RPM,MPH,THROTTLE_POS,AX,AY,AZ,GX,GY,GZ,Latitude,Longitude
1650243478,0,0,0,0,0,0,0,0,0,0,0
1650243479,588.5,0.0,12.156862745098039,1.4891934326171874,-0.1388636962890625,10.022128149414062,0.014655436870229008,-0.0034640123511450386,0.00319754986259542,0,0
1650243480,587.0,0.0,12.156862745098039,1.407790576171875,-0.2346317626953125,9.964667309570311,0.014921899358778627,-0.00639509972519084,0.01119142451908397,30.59840166666667,-96.33893333333332
1650243481,582.25,0.0,12.156862745098039,1.4700398193359374,-0.2442085693359375,10.17056865234375,0.008526799633587786,0.006928024702290077,0.015188361847328247,30.598403333333334,-96.338935
1650243482,585.5,0.0,12.156862745098039,1.5370774658203123,-0.3591302490234375,10.089165795898436,0.011990811984732825,0.010658499541984735,0.006928024702290077,30.598403333333334,-96.33893666666667
1650243483,588.25,0.0,11.764705882352942,2.2936451904296873,-0.4213794921875,9.969455712890625,0.013323124427480917,0.003996937328244275,0.00985911207633588,30.598403333333334,-96.33893833333335
1650243484,584.5,0.0,12.156862745098039,1.8004396484374998,-0.2346317626953125,10.007762939453125,0.017852986732824427,0.016254211801526718,0.013589586916030535,30.59840166666667,-96.33893833333335
1650243485,580.5,1.2427423844746681,12.156862745098039,1.7286135986328124,-0.5506663818359374,9.830592016601562,-0.0013323124427480919,0.00159877493129771,-0.030110261206106874,30.59840166666667,-96.33894000000001
1650243486,770.0,2.4854847689493362,13.72549019607843,2.5570073730468748,-1.20667763671875,10.524910498046875,-0.04130168572519085,-0.0959264958778626,-0.12816845699236643,30.59840166666667,-96.33893833333335
1650243487,939.0,3.7282271534240046,14.901960784313726,1.407790576171875,-0.6177040283203125,10.007762939453125,0.002398162396946565,0.07514242177099237,-0.249941814259542,30.598403333333334,-96.338935
1650243488,1014.75,4.9709695378986725,11.764705882352942,2.2601263671875,-1.5131354492187499,10.333374365234375,-0.09033078361832061,-0.10178867062595422,-0.3408055228549619,30.598406666666666,-96.33892833333333
1650243489,1120.5,5.592340730136007,15.686274509803921,1.1827356201171875,-1.6041151123046875,9.983820922851562,-0.05569066010687024,-0.0479632479389313,-0.3442695352061069,30.598409999999998,-96.33891666666665
